system,replica,time_ns,PC1,PC2,local_state,matched_state
Apo,1,200.306,20.193931579589844,21.17949104309082,0,0
Apo,1,200.506,25.15537452697754,16.543066024780273,0,0
Apo,1,200.706,23.880428314208984,16.229934692382812,0,0
Apo,1,200.906,13.457324028015137,14.586409568786621,0,0
Apo,1,201.106,24.178056716918945,23.96685791015625,0,0
Apo,1,201.306,24.404747009277344,20.140634536743164,0,0
Apo,1,201.506,18.99494171142578,19.686843872070312,0,0
Apo,1,201.706,24.78588104248047,24.456815719604492,0,0
Apo,1,201.906,28.300378799438477,21.85196876525879,0,0
Apo,1,202.106,27.2490291595459,37.78530502319336,0,0
Apo,1,202.306,21.591917037963867,25.46555519104004,0,0
Apo,1,202.506,21.89425277709961,29.703271865844727,0,0
Apo,1,202.706,19.36269760131836,20.58057403564453,0,0
Apo,1,202.906,31.25121307373047,30.434589385986328,0,0
Apo,1,203.106,31.379610061645508,22.091426849365234,0,0
Apo,1,203.306,32.25212860107422,21.804609298706055,0,0
Apo,1,203.506,28.362754821777344,25.911273956298828,0,0
Apo,1,203.706,31.054636001586914,23.713865280151367,0,0
Apo,1,203.906,25.9605712890625,18.153575897216797,0,0
Apo,1,204.106,22.89025115966797,22.03457260131836,0,0
Apo,1,204.306,29.749258041381836,22.130550384521484,0,0
Apo,1,204.506,26.475082397460938,15.99681568145752,0,0
Apo,1,204.706,17.295812606811523,17.43140411376953,0,0
Apo,1,204.906,22.866798400878906,22.74582862854004,0,0
Apo,1,205.106,20.81036376953125,19.898073196411133,0,0
Apo,1,205.306,23.739473342895508,10.188389778137207,0,0
Apo,1,205.506,23.546411514282227,16.04446029663086,0,0
Apo,1,205.706,24.815841674804688,14.806450843811035,0,0
Apo,1,205.906,21.093774795532227,22.074697494506836,0,0
Apo,1,206.106,25.332996368408203,16.453407287597656,0,0
Apo,1,206.306,23.954721450805664,29.824058532714844,0,0
Apo,1,206.506,29.505292892456055,24.536649703979492,0,0
Apo,1,206.706,31.7733154296875,19.679597854614258,0,0
Apo,1,206.906,17.602840423583984,13.3391695022583,0,0
Apo,1,207.106,18.121477127075195,21.91619873046875,0,0
Apo,1,207.306,22.749662399291992,15.921066284179688,0,0
Apo,1,207.506,24.906570434570312,11.574053764343262,0,0
Apo,1,207.706,24.706741333007812,22.29604721069336,0,0
Apo,1,207.906,27.38020896911621,14.117155075073242,0,0
Apo,1,208.106,35.56234359741211,25.831518173217773,0,0
Apo,1,208.306,26.788803100585938,19.134174346923828,0,0
Apo,1,208.506,25.180683135986328,12.766902923583984,0,0
Apo,1,208.706,26.06942367553711,20.152482986450195,0,0
Apo,1,208.906,32.55562973022461,21.210693359375,0,0
Apo,1,209.106,21.60186195373535,11.076043128967285,0,0
Apo,1,209.306,25.829076766967773,7.440617084503174,0,0
Apo,1,209.506,30.896366119384766,17.204561233520508,0,0
Apo,1,209.706,30.096332550048828,19.90212059020996,0,0
Apo,1,209.906,30.22968292236328,14.34827995300293,0,0
Apo,1,210.106,23.572612762451172,14.375980377197266,0,0
Apo,1,210.306,25.815584182739258,10.787095069885254,0,0
Apo,1,210.506,34.0209846496582,26.573617935180664,0,0
Apo,1,210.706,32.10721969604492,15.040008544921875,0,0
Apo,1,210.906,25.76068115234375,23.42292022705078,0,0
Apo,1,211.106,28.118770599365234,19.018518447875977,0,0
Apo,1,211.306,27.62967300415039,21.400659561157227,0,0
Apo,1,211.506,28.08110237121582,20.820085525512695,0,0
Apo,1,211.706,29.6292781829834,25.028274536132812,0,0
Apo,1,211.906,28.17082405090332,15.097649574279785,0,0
Apo,1,212.106,17.881481170654297,14.516366958618164,0,0
Apo,1,212.306,17.760929107666016,15.909187316894531,0,0
Apo,1,212.506,27.343238830566406,12.530055046081543,0,0
Apo,1,212.706,21.656705856323242,9.721962928771973,0,0
Apo,1,212.906,19.435087203979492,9.511905670166016,0,0
Apo,1,213.106,25.784034729003906,12.635149955749512,0,0
Apo,1,213.306,26.8599796295166,14.15481185913086,0,0
Apo,1,213.506,30.022016525268555,12.983169555664062,0,0
Apo,1,213.706,27.81668472290039,14.036052703857422,0,0
Apo,1,213.906,28.784006118774414,11.603832244873047,0,0
Apo,1,214.106,23.62194061279297,13.051692008972168,0,0
Apo,1,214.306,30.704023361206055,19.3678035736084,0,0
Apo,1,214.506,25.3985538482666,13.043346405029297,0,0
Apo,1,214.706,25.808195114135742,3.201392889022827,0,0
Apo,1,214.906,30.689319610595703,22.29631233215332,0,0
Apo,1,215.106,27.17276954650879,17.91819190979004,0,0
Apo,1,215.306,24.000093460083008,18.746179580688477,0,0
Apo,1,215.506,25.625410079956055,13.890257835388184,0,0
Apo,1,215.706,27.554418563842773,19.04126739501953,0,0
Apo,1,215.906,25.528541564941406,12.815152168273926,0,0
Apo,1,216.106,27.328702926635742,17.28548812866211,0,0
Apo,1,216.306,26.87482261657715,13.592503547668457,0,0
